Period,United ,Northeast,Midwest,South,West,,,,,
,,,,,,,,,,
1963Q1,"17,800","20,800","17,500","16,800","18,000",,,,,
1963Q2,"18,000","20,600","17,700","15,800","18,900",,,,,
1963Q3,"17,900","19,600","17,800","15,900","19,000",,,,,
1963Q4,"18,500","20,600","19,100","15,800","19,500",,,,,
1964Q1,"18,500","20,300","18,700","16,500","19,600",,,,,
1964Q2,"18,900","19,800","19,800","16,800","20,100",,,,,
1964Q3,"18,900","20,200","18,900","16,800","20,600",,,,,
1964Q4,"19,400","21,400","20,800","16,700","21,500",,,,,
1965Q1,"20,200","21,000","21,900","17,400","21,600",,,,,
1965Q2,"19,800","21,900","20,800","16,400","22,100",,,,,
1965Q3,"20,200","21,200","22,100","17,700","21,500",,,,,
1965Q4,"20,300","23,100","21,100","18,100","22,400",,,,,
1966Q1,"21,000","23,700","22,500","17,800","23,300",,,,,
1966Q2,"22,100","23,700","23,300","18,800","23,800",,,,,
1966Q3,"21,500","23,700","24,100","18,200","22,500",,,,,
1966Q4,"21,400","23,400","23,700","18,900","22,800",,,,,
1967Q1,"22,300","23,800","23,000","18,900","24,700",,,,,
1967Q2,"23,300","25,400","25,900","19,400","24,700",,,,,
1967Q3,"22,500","25,600","24,100","19,400","23,600",,,,,
1967Q4,"22,900","27,500","26,900","19,600","23,300",,,,,
1968Q1,"23,900","26,600","26,900","19,800","24,700",,,,,
1968Q2,"24,900","26,900","28,200","22,000","25,500",,,,,
1968Q3,"24,800","27,800","26,800","21,700","25,500",,,,,
1968Q4,"25,600","29,900","27,700","22,400","24,800",,,,,
1969Q1,"25,700","31,500","27,300","23,100","24,800",,,,,
1969Q2,"25,900","32,100","28,700","23,300","25,600",,,,,
1969Q3,"25,900","31,300","28,700","23,000","25,400",,,,,
1969Q4,"24,900","30,500","26,400","21,100","25,500",,,,,
1970Q1,"23,900","32,000","28,500","20,000","23,800",,,,,
1970Q2,"24,400","33,100","25,000","21,100","24,700",,,,,
1970Q3,"23,000","26,800","23,800","20,400","24,200",,,,,
1970Q4,"22,600","29,200","22,700","20,000","23,600",,,,,
1971Q1,"24,300","31,000","27,100","21,300","24,700",,,,,
1971Q2,"25,800","30,500","27,800","22,700","26,200",,,,,
1971Q3,"25,300","30,900","27,600","22,900","25,300",,,,,
1971Q4,"25,500","31,300","26,200","23,200","25,600",,,,,
1972Q1,"26,200","31,900","28,300","23,900","26,200",,,,,
1972Q2,"26,800","31,100","28,400","25,200","26,300",,,,,
1972Q3,"27,900","29,400","30,200","26,600","28,300",,,,,
1972Q4,"29,200","33,800","30,800","27,500","28,800",,,,,
1973Q1,"30,200","35,100","31,500","29,100","29,600",,,,,
1973Q2,"32,700","38,400","32,200","30,900","32,800",,,,,
1973Q3,"33,500","36,900","33,500","32,200","33,600",,,,,
1973Q4,"34,000","38,600","35,000","32,100","33,900",,,,,
1974Q1,"35,200","38,600","35,200","34,800","34,400",,,,,
1974Q2,"35,600","39,500","36,000","33,600","36,100",,,,,
1974Q3,"36,200","40,700","36,200","35,100","36,000",,,,,
1974Q4,"37,200","44,000","37,500","34,900","37,200",,,,,
1975Q1,"38,100","44,000","37,400","36,700","38,500",,,,,
1975Q2,"39,000","43,400","39,700","36,800","40,400",,,,,
1975Q3,"38,800","44,400","39,300","36,500","39,800",,,,,
1975Q4,"41,200","44,400","41,900","39,000","43,400",,,,,
1976Q1,"42,800","45,700","42,500","39,800","45,100",,,,,
1976Q2,"44,200","46,300","45,800","40,400","47,400",,,,,
1976Q3,"44,400","48,400","44,100","41,400","47,300",,,,,
1976Q4,"45,500","50,200","48,400","40,000","50,000",,,,,
1977Q1,"46,300","50,900","47,600","41,200","51,700",,,,,
1977Q2,"48,900","53,200","50,800","44,300","53,200",,,,,
1977Q3,"48,800","49,300","51,100","44,600","53,700",,,,,
1977Q4,"51,600","52,000","56,400","46,100","56,800",,,,,
1978Q1,"53,000","56,800","54,700","47,700","58,800",,,,,
1978Q2,"55,300","55,400","58,700","49,900","61,800",,,,,
1978Q3,"56,100","57,800","61,400","51,300","61,000",,,,,
1978Q4,"59,000","60,700","63,200","53,000","65,500",,,,,
1979Q1,"60,600","65,500","61,300","54,300","66,500",,,,,
1979Q2,"63,100","65,800","65,300","57,400","69,600",,,,,
1979Q3,"64,700","66,500","64,300","59,700","73,400",,,,,
1979Q4,"62,600","67,100","63,100","57,300","71,700",,,,,
1980Q1,"63,700","65,400","64,700","59,000","72,100",,,,,
1980Q2,"64,000","67,900","60,100","58,700","74,400",,,,,
1980Q3,"64,900","71,900","64,000","60,400","70,800",,,,,
1980Q4,"66,400","71,400","64,200","61,200","74,100",,,,,
1981Q1,"66,800","71,300","68,300","62,300","74,700",,,,,
1981Q2,"69,400","84,000","66,900","63,500","78,500",,,,,
1981Q3,"69,200","73,700","63,600","66,000","77,500",,,,,
1981Q4,"70,400","71,100","65,600","66,100","79,600",,,,,
1982Q1,"66,400","69,900","66,400","64,400","73,300",,,,,
1982Q2,"69,600","81,600","68,600","65,700","77,900",,,,,
1982Q3,"69,300","81,300","64,800","67,300","72,000",,,,,
1982Q4,"71,600","76,800","75,800","68,100","77,500",,,,,
1983Q1,"73,300","77,800","77,000","69,200","78,800",,,,,
1983Q2,"74,900","81,000","80,200","69,300","78,900",,,,,
1983Q3,"77,400","84,100","81,500","73,200","82,600",,,,,
1983Q4,"75,900","84,900","78,100","71,900","81,900",,,,,
1984Q1,"78,200","82,700","81,400","71,900","85,600",,,,,
1984Q2,"80,700","94,200","86,400","71,900","87,400",,,,,
1984Q3,"81,000","91,200","87,500","71,100","87,400",,,,,
1984Q4,"79,900","86,600","86,500","73,000","89,800",,,,,
1985Q1,"82,800","89,800","80,100","74,800","92,100",,,,,
1985Q2,"84,300","99,800","79,600","73,600","93,700",,,,,
1985Q3,"83,200","108,800","78,200","74,300","90,600",,,,,
1985Q4,"86,800","105,700","81,800","78,300","95,300",,,,,
1986Q1,"88,000","121,500","84,100","78,400","92,800",,,,,
